"BrokerID","ExchangeID","InvestorID","InstrumentID","HedgeFlag","LongMarginRate","LongMarginAmt","ShortMarginRate","ShortMarginAmt"
"guofu","CFFEX","00000000","IF","1","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IF","2","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IF","3","0.100000","0.000000","0.100000","0.000000"
"guofu","SHFE","00000000","ag_f","1","0.020000","0.100000","0.010000","0.200000"
"guofu","SHFE","00000000","ag_f","2","0.020000","0.100000","0.010000","0.200000"
"guofu","SHFE","00000000","ag_f","3","0.020000","0.100000","0.010000","0.200000"
"guofu","CZCE","00000000","CF","1","0.000100","5.000000","0.000100","5.000000"
"guofu","CZCE","00000000","CF","2","0.000100","5.000000","0.000100","5.000000"
"guofu","CZCE","00000000","CF","3","0.000100","5.000000","0.000100","5.000000"
"guofu","DCE","00000000","a","1","0.000000","11.000000","0.000000","11.000000"
"guofu","DCE","00000000","a","2","0.000000","11.000000","0.000000","11.000000"
"guofu","DCE","00000000","a","3","0.000000","11.000000","0.000000","11.000000"
"guofu","CFFEX","00000000","TF","1","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","TF","2","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","TF","3","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","AF","1","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","AF","2","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","AF","3","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","EF","1","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","EF","2","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","EF","3","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IH","1","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IH","2","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IH","3","0.100000","0.000000","0.100000","0.000000"
"guofu","CFFEX","00000000","IC","1","0.100000","0.000000","0.100000","0.000000"
